English,German,Polish
better,besser,lepiej
ever,je,zawsze
night,Nacht,noc
than,als,niż
away,ein Weg,z dala
first,Erste,pierwszy
believe,glauben,uważać
other,Sonstiges,inny
feel,Gefühl,czuć
everything,alles,wszystko
work,Arbeit,praca
you've,du hast,ty
fine,fein,Cienki
home,Heimat,Dom
after,nach,po
last,letzte,ostatni
these,diese,te
day,Tag,dzień
keep,behalten,trzymać
does,tut,czy
put,stellen,położyć
around,um,na około
stop,Pause,Zatrzymaj się
they're,Sie sind,Oni
I'd,Ausweis,ID
guy,Kerl,facet
long,lang,długie
isn't,nicht,nie jest
always,stets,zawsze
listen,Hören,słuchać
wanted,gesucht,poszukiwany
Mr.,Herr.,Pan.
guys,Leute,chłopaki
huh,Huh,Huh
those,diese,tych
big,groß,duża
lot,viel,działka
happened,passiert,stało się
thanks,Danke,Dziękuję
won't,Gewohnheit,przyzwyczajenie
trying,versuchen,próbować
kind,nett,uprzejmy
wrong,falsch,zło
through,durch,poprzez
talking,sprechen,mówić
made,gemacht,zrobiony
new,Neu,Nowy
being,Sein,istnienie
guess,erraten,zgadywać
hi,hallo,cześć
care,Pflege,opieka
bad,Schlecht,zły
mom,Mama,mama
remember,denken Sie daran,Zapamiętaj
getting,bekommen,dostawanie
we'll,Gut,dobrze
together,zusammen,razem
dad,Papa,tata
leave,verlassen,Odejdź
mother,Mutter,matka
place,Platz,miejsce
understand,verstehe,Rozumiesz
wouldn't,würde nicht,nie
actually,eigentlich,Właściwie
hear,hören,słyszeć
baby,Baby,Dziecko
nice,Hübsch,ładny
father,Vater,ojciec
else,anders,w przeciwnym razie
stay,bleibe,zostawać
done,erledigt,Gotowe
wasn't,war nicht,nie było
their,ihr,ich
course,Kurs,kurs
might,könnte,móc
mind,Geist,umysł
every,jeder,każdy
enough,genügend,wystarczająco 
try,Versuchen,próbować
hell,Hölle,piekło
came,kam,przyszło
someone,jemand,ktoś
you'll,du wirst,będziesz
own,besitzen,własny
family,Familie,rodzina
whole,ganz,cały
another,Ein weiterer,inne
house or House,Haus oder Haus,dom lub dom
Jack or jack,Jack oder Jack,Jack lub Jack
yourself,dich selbst,się
idea,Idee,pomysł
ask,Fragen,zapytać się
best,Beste,Najlepsza
must,muss,musi
coming,Kommen,nadchodzący
old,alt,stary
looking,aussehen,patrząc
woman,Frau,kobieta
hello,hallo,Witam
which,die,który
years,Jahre,lata
room,Zimmer,Pokój
money,Geld,pieniądze
left,links,lewy
knew,wusste,Wiedziałem
tonight,heute Abend,dziś wieczorem
real,real,prawdziwy
son,Sohn,syn
hope,Hoffnung,nadzieja
name,Name,Nazwa
same,gleich,to samo
went,ging,wszedł 
um,Äh,um
hmm,hmm,Hmm
happy,glücklich,szczęśliwy
pretty,hübsch,ładny
saw,gesehen,widział
girl,Mädchen,dziewczyna
sir,Herr,Pan
show,Show,pokazać
friend,Freund,przyjaciel
already,schon,już
saying,Sprichwort,powiedzenie
may or May,kann oder kann,może lub maja
next,nächste,następny
three,drei,trzy
job,Arbeit,stanowisko
problem,Problem,problem
minute,Minute,minuta
found,gefunden,znaleziony
world,Welt,świat
thinking,Denken,myślący
haven't,nicht,nie
heard,gehört,usłyszał
honey,Honig,miód
matter,Angelegenheit,materiał
myself,mich selbst,ja
couldn't,konnte nicht,Nie mogłem
exactly,exakt,dokładnie
having,haben,mający
ah,Ah,Ah
probably,wahrscheinlich,prawdopodobnie
happen,passieren,zdarzyć
we've,wir haben,Mamy
hurt,Schmerz,zraniony
boy,Junge,chłopak
both,beide,Zarówno
while,während,podczas gdy
dead,tot,nie żyje
gotta,muss,musieć
alone,allein,sam
since,seit,odkąd
excuse,Entschuldigung,wymówka
start,Anfang,początek
kill,töten,zabić
hard,schwer,ciężko
you'd,du würdest,Będziesz
today,heute,Dziś
car,Wagen,samochód
ready,bereit,gotowy
until,bis um,aż do
without,ohne,bez
whatever,wie auch immer,cokolwiek
wants,will,chce
hold,halt,utrzymać
wanna,will,chcieć
yet,noch,już
seen,gesehen,widziany
deal,handeln,sprawa
took,nahm,wzięła
once,einmal,raz
gone,Weg,odszedł
called,genannt,nazywa
morning,Morgen,rano
supposed,soll,przypuszczalny
friends,Freunde,przyjaciele
head,Kopf,głowa
stuff,Sachen,rzeczy
most,die meisten,bardzo
used,Gebraucht,używany
worry,Sorge,martwić się
second,zweite,druga
part,Teil,część
live,live,relacja na żywo
truth,Wahrheit,prawda
school,Schule,szkoła
face,Gesicht,Twarz
forget,vergessen,zapominać
TRUE,STIMMT,PRAWDA
business,Geschäft,biznes
each,jeder,każdy
cause,weil,przyczyna
soon,demnächst,wkrótce
knows,weiß,wie
few,wenig,mało
telling,erzählen,wymowny
wife,Ehefrau,żona
who's,wer ist,kto jest
use,verwenden,posługiwać się
chance,Chance,szansa
run,Lauf,biegać
move,Bewegung,ruszaj się
anyone,jeder,ktokolwiek
person,Person,osoba
bye,Wiedersehen,PA
J.,J.,J.
somebody,jemand,ktoś
Dr. or dr.,Dr. oder Dr.,Dr lub dr.
heart,Herz,serce
such,eine solche,taki
miss,fehlschlagen,tęsknić
married,verheiratet,żonaty
point,Punkt,punkt
later,später,później
making,Herstellung,zrobienie
meet,Treffen,spotykać się
anyway,ohnehin,w każdym razie
many,viele,wiele
phone,Telefon,telefon
reason,Grund,powód
damn,verdammt,cholerny
lost,verirrt,Stracony
looks,sieht aus,Wygląd
bring,bringen,przynieść
case,Fall,walizka
turn,drehen,skręcać
wish,Wunsch,życzenie
tomorrow,Morgen,jutro
kids,Kinder,Dzieci
trust,vertrauen,zaufanie
check,überprüfen,sprawdzać
change,Rückgeld,zmiana
end,Ende,koniec
late,spät,późno
anymore,mehr,nie więcej
five,fünf,pięć
least,am wenigsten,najmniej
town,"Stadt, Dorf",miasto
aren't,nicht,nie są
ha,Ha,ha
working,Arbeiten,pracujący
year,Jahr,rok
makes,macht,robi
taking,Einnahme,nabierający
means,meint,oznacza
brother,Bruder,brat
play,abspielen,bawić się
hate,hassen,nienawidzić
ago,vor,temu
says,sagt,mówi
beautiful,schön,piękny
gave,gab,dał
fact,Tatsache,fakt
crazy,verrückt,zwariowany
party,Party,przyjęcie
sit,mach Sitz,siedzieć
open,offen,otwarty
afraid,besorgt,przestraszony
between,zwischen,pomiędzy
important,wichtig,ważny
rest,sich ausruhen,reszta
fun,Spaß,zabawa
kid,Kind,dziecko
word,Wort,słowo
watch,Uhr,zegarek
glad,froh,zadowolony
everyone,alle,każdy
days,Tage,dni
sister,Schwester,siostra
minutes,Protokoll,minuty
everybody,alle,wszyscy
bit,bisschen,fragment
couple,Paar,para
whoa,whoa,Whoa
either,entweder,zarówno
Mrs.,Frau.,Pani.
feeling,Gefühl,uczucie
daughter,Tochter,córka
wow,Beeindruckend,wow
gets,bekommt,dostaje
asked,fragte,spytał
under,unter,pod 
break,Unterbrechung,przerwanie
promise,versprechen,obietnica
door,Tür,drzwi
set,einstellen,ustawić
close,nah dran,blisko
hand,Hand,ręka
easy,einfach,łatwo
question,Frage,pytanie
doctor,Arzt,lekarz
tried,versucht,wypróbowany
far,weit,daleko
walk,Spaziergang,spcerować
needs,Bedürfnisse,wymagania
trouble,Problem,kłopot
mine,Mine,moje
though,obwohl,chociaż
times,mal,czasy
different,anders,różne
killed,getötet,zabity
hospital,Krankenhaus,szpital
anybody,irgendjemand,ktoś
Sam or SAM,Sam oder Sam,Sam lub Sam
alright,Ordnung,w porządku
wedding,Hochzeit,ślub
shut,schließen,zamknąć
able,fähig,zdolny
die,sterben,umierać
perfect,perfekt,idealny
police,Polizei,Policja
stand,Stand,stoisko
comes,kommt,pochodzi
hit,Schlag,uderzyć
story,Geschichte,fabuła
ya,ya,ya
mm,mm,mm
waiting,warten,Czekanie
dinner,Abendessen,obiad
against,gegen,przeciwko
funny,komisch,zabawny
husband,Ehemann,mąż
almost,fast,prawie
stupid,dumm,głupi
pay,Zahlen,płacić
answer,Antworten,odpowiadać
four,vier,cztery
office,Büro,gabinet
cool,Kalt,Fajny
eyes,Augen,oczy
news,Nachrichten,Aktualności
child,Kind,dziecko
shouldn't,sollte nicht,Nie powinno
half,halb,połowa
side,Seite,bok
yours,deine,Twój
moment,Moment,za chwilę
sleep,schlafen,spać
read,lesen,czytać
where's,wo ist,Gdzie jest
started,gestartet,zaczęła się
young,jung,młody
men,Männer,mężczyźni
sounds,Geräusche,Dźwięki
sonny or Sonny,Sonny oder Sonny,Sonny lub Sonny
lucky,Glücklich,Szczęściarz
pick,wählen,wybierać
sometimes,manchmal,czasami
em,em,em
bed,Bett,łóżko
also,Auch,Również
date,Datum,data
line,Linie,linia
plan,planen,plan
hours,Std.,godziny
lose,verlieren,stracić
fire,Feuer,ogień
free,frei,darmowy
hands,Hände,ręce
serious,ernst,poważny
Leo,Löwe,Lew
shit,Scheisse,gówno
behind,hinter,za
inside,Innerhalb,w środku
high,hoch,wysoki
ahead,voraus,dalej
week,Woche,tydzień
wonderful,wunderbar,wspaniale
T.,T.,T.
fight,Kampf,walka
past,vorbei an,po
cut,schneiden,skaleczenie
quite,ziemlich,całkiem
number,Nummer,numer
he'll,Hölle,piekło
sick,krank,chory
S.,S.,S.
it'll,es wird,będzie
game,Spiel,gra
eat,Essen,jeść
nobody,niemand,nikt
goes,geht,idzie
death,Tod,śmierć
along,eine lange,przed siebie
save,sparen,ratować
seems,scheint,wydaje się
finally,endlich,wreszcie
lives,lebt,zyje
worried,besorgt,zmartwiony
upset,verärgern,smutny
Theresa,Da ist ein,Theresa
Carly,Carly,Carly
Ethan,Ethan,Ethan
met,getroffen,spotkał
book,Buchen,książka
brought,gebracht,przyniósł
seem,erscheinen,wydać się
sort,Sortieren,sortować
safe,sicher,bezpieczny
living,Leben,żyjący
children,Kinder,dzieci
weren't,war nicht,nie było
leaving,Verlassen,odjazd
front,Vorderseite,przód
shot,Schuss,strzał
loved,geliebt,kochany
asking,fragen,pytając
running,laufend,działanie
clear,klar,jasne
figure,Zahl,postać
hot,heiß,gorący
felt,fühlte,filc
six,sechs,sześć
parents,Eltern,rodzice
drink,Getränk,drink
absolutely,unbedingt,absolutnie
how's,wie ist,Jak
daddy,Vati,tatuś
sweet,süß,Słodkie
alive,am Leben,żywy
Paul,Paul,Paweł
sense,Sinn,sens
meant,gemeint,oznaczał
happens,das passiert,dzieje się
David,David,David
special,Besondere,specjalny
bet,Wette,Zakład
blood,Blut,krew
ain't,Ich bin nicht,nie
kidding,scherzhaft,żart
lie,Lüge,kłamstwo
full,voll,pełny
meeting,treffen,spotkanie
dear,Liebling,droga
coffee,Kaffee,Kawa
seeing,Sehen,widzenie
sound,Klang,dźwięk
fault,Fehler,wada
water,Wasser,woda
fuck,Scheiße,pierdolić
ten,zehn,dziesięć
women,Frauen,kobiety
John or john,John oder John,John lub John
welcome,willkommen,Witam
buy,Kaufen,Kup
months,Monate,miesiące
hour,Stunde,godzina
speak,sprechen,mówić
lady,Dame,dama
Jen,Jen,Jen
thinks,denkt,myśli
Christmas,Weihnachten,Boże Narodzenie
body,Karosserie,ciało
order,bestellen,zamówienie
outside,außen,poza
hang,aufhängen,powiesić
possible,möglich,możliwy
worse,schlechter,gorzej
company,Gesellschaft,firma
mistake,Fehler,błąd
ooh,Oh,ooh
handle,handhaben,uchwyt
spend,verbringen,spędzić
C.,C.,C.
totally,total,całkowicie
giving,geben,dający
control,Kontrolle,kontrola
here's,Hier ist,Oto
marriage,die Ehe,małżeństwo
realize,realisieren,realizować
D.,D.,D.
power,Energie,moc
president,Präsident,prezydent
unless,wenn nicht,chyba że
sex,Sex,seks
girls,Mädchen,dziewczyny
send,senden,wysłać
needed,erforderlich,potrzebne
O. or o,O. oder o,O. lub o
taken,vergriffen,zajęty
died,gestorben,zmarł
scared,erschrocken,przestraszony
picture,Bild,obrazek
talked,redete,rozmawiałem
Jake,Jake,Jake
Al,Al,Glin
ass,Arsch,tyłek
hundred,hundert,sto
changed,geändert,zmienione
completely,vollständig,całkowicie
explain,erklären,wyjaśnić
playing,Spielen,gra
certainly,sicherlich,z pewnością
sign,Schild,podpisać
boys,Jungs,chłopcy
relationship,Beziehung,relacja
Michael,Michael,Michał
loves,Liebt,kocha
fucking,Ficken,pierdolony
hair,Haar,włosy
lying,lügnerisch,kłamliwy
choice,Auswahl,wybór
anywhere,irgendwo,gdziekolwiek
secret,Geheimnis,sekret
future,Zukunft,przyszły
weird,seltsam,dziwny
luck,Glück,szczęście
she'll,Hülse,powłoka
Max or max.,Max oder Max.,Max lub Max.
Luis,Luis,Luis
turned,gedreht,obrócony
known,bekannt,znany
touch,berühren,dotykać
kiss,Kuss,pocałunek
Crane or crane,Kran oder Kran,Żuraw lub dźwig
questions,Fragen,pytania
obviously,offensichtlich,oczywiście
wonder,sich fragen,cud
pain,Schmerzen,ból
calling,Berufung,powołanie
somewhere,irgendwo,gdzieś
throw,Wurf,rzucić
straight,gerade,proste
Grace or grace,Gnade oder Gnade,Łaska lub łaska
cold,kalt,przeziębienie
white or White,weiß oder weiß,biały lub biały
fast,schnell,szybki
Natalie,Natalie,Natalie
words,Wörter,słowa
R.,R.,R.
food,Lebensmittel,jedzenie
none,keiner,Żaden
drive,Fahrt,prowadzić
feelings,Gefühle,uczucia
they'll,sie werden,Będą
worked,hat funktioniert,pracował
marry,heiraten,ożenić
light,hell,światło
test,Prüfung,test
drop,fallen,upuszczać
cannot,kann nicht,Nie mogę
Frank,Frank,Szczery
sent,gesendet,wysłano
city,Stadt,Miasto
dream,Traum,śnić
protect,beschützen,chronić
twenty,zwanzig,20
class,Klasse,klasa
Lucy,Lucy,Lucy
surprise,Überraschung,niespodzianka
its,es ist,jego
sweetheart,Schatz,kochanie
forever,bis in alle Ewigkeit,na zawsze
poor,Arm,słaby
looked,sah,wyglądał
mad,wütend,szalony
except,außer,oprócz
gun,Pistole,pistolet
y'know,Weißt du,Ty wiesz
dance,tanzen,taniec
takes,nimmt,trwa
appreciate,im Wert steigen,doceniać
especially,besonders,szczególnie
situation,Lage,sytuacja
besides,Außerdem,oprócz
weeks,Wochen,tygodnie
pull,ziehen,ciągnąć
himself,selbst,samego siebie
hasn't,hat nicht,nie
act,Handlung,akt
worth,Wert,wartość
Sheridan,Sheridan,Sheridan
amazing,toll,zdumiewający
top,oben,Top
given,gegeben,dany
expect,erwarten von,oczekiwać
Ben,Ben,Ben
rather,eher,raczej
Julian,julianisch,juliański
involved,beteiligt,zaangażowany
swear,schwören,przeklinać
piece,Stück,kawałek
busy,belebt,zajęty
law,Gesetz,prawo
decided,beschlossen,zdecydowany
black or Black,schwarz oder schwarz,czarny lub czarny
Joey,Joey,Joey
happening,Ereignis,wydarzenie
movie,Film,film
we'd,heiraten,poślubić
catch,Fang,złapać
Antonio,Antonio,Antonio
country,Land,kraj
less,weniger,mniej
perhaps,vielleicht,być może
step,Schritt,krok
fall,Herbst,spadek
watching,Aufpassen,oglądanie
kept,gehalten,trzymane
darling,Schatz,kochanie
dog,Hund,pies
Ms.,MS.,SM.
win,gewinnen,wygrać
air,Luft,powietrze
honor,ehren,zaszczyt
personal,persönlich,osobisty
moving,ziehen um,poruszający
till,bis,do
admit,zugeben,przyznawać 
problems,Probleme,problemy
murder,Mord,morderstwo
strong,stark,silny
he'd,er würde,On był
evil,teuflisch,zło
definitely,bestimmt,Zdecydowanie
feels,fühlt sich,odczucia
information,Information,Informacja
honest,ehrlich,uczciwy
eye,Auge,oko
broke,Pleite,zepsuł się
missed,vermisst,pominięty
longer,länger,dłużej
dollars,Dollar,dolary
tired,müde,zmęczony
Jason,Jason,Jason
George,George,Jerzy
evening,Abend,wieczór
human,Mensch,człowiek
starting,beginnend,startowy
Ross,Ross,Ross
red,rot,czerwony
entire,gesamte,Cały
trip,Reise,wycieczka
Brooke,Brooke,Brooke
E.,E.,MI.
club,Verein,Klub
Niles,Niles,Niles
suppose,vermuten,przypuszczać
calm,Ruhe,spokojna
imagine,vorstellen,wyobrażać sobie
Todd,Todd,Todd
fair,Messe,sprawiedliwy
caught,erwischt,złapany
B.,B.,B.
blame,Schuld,winić
street,Straße,ulica
sitting,Sitzung,posiedzenie
favor,favorisieren,przychylność
apartment,Wohnung,apartament
court,Gericht,Sąd
terrible,abscheulich,straszny
clean,sauber,czysty
Tony or tony,Tony oder Tony,Tony lub Tony
learn,lernen,uczyć się
Alison,Alison,Alison
Rick,Rick,Stóg
works,Arbeiten,Pracuje
Rose or rose,Rose oder Rose,Róża lub róża
Frasier,Frasier,Frasier
relax,Entspannen Sie sich,zrelaksować się
York,York,York
million,Million,milion
charity,Wohltätigkeit,jałmużna
accident,Unfall,wypadek
wake,aufwachen,budzić
prove,beweisen,udowodnić
Danny,Danny,Danny
smart,Clever,mądry
message,Botschaft,wiadomość
missing,fehlen,zaginiony
forgot,vergessen,zapomniałem
small,klein,mały
interested,interessiert,zainteresowany
table,Tisch,stół
nbsp,NBSP,nbsp
become,werden,stać się
Craig,Craig,Craig
mouth,Mund,usta
pregnant,schwanger,w ciąży
middle,Mitte,środek
Billy or billy,Billy oder Billy,Billy lub Billy
ring,Ring,dzwonić
careful,Vorsichtig,ostrożny
shall,soll,być
dude,Alter,koleś
team,Mannschaft,zespół
ride,Reiten,jeździć
figured,gezeichnet,wzorzysty
wear,tragen,nosić 
shoot,schießen,strzelać
stick,Stock,stick
Ray or ray,Strahl oder Strahl,Ray lub Ray
follow,Folgen,śledzić
Bo,Bo,Bo
angry,wütend,zły
instead,stattdessen,zamiast
buddy,Kumpel,kumpel
write,schreiben,pisać
stopped,gestoppt,zatrzymany
early,frühzeitig,wczesny
Angel or angel,Engel oder Engel,Anioł lub anioł
Nick or nick,Nick oder Nick,Nick lub Nick
ran,rannte,biegł
war,Krieg,wojna
standing,Stehen,na stojąco
forgive,verzeihen,przebaczyć
jail,Gefängnis,więzienie
wearing,Verschleiß,ma na sobie
Miguel,Miguel,Miguel
ladies,Damen,damski
kinda,irgendwie,poniekąd
lunch,Mittagessen,obiad
Cristian,Cristian,Cristian
eight,acht,osiem
Greenlee,Greenlee,Greenlee
gotten,bekam,Got
hoping,Hoffentlich,mając nadzieję
Phoebe,Phoebe,Phoebe
thousand,tausend,tysiąc
ridge,Grat,grzbiet
music,Musik,muzyka
Luke,Lukas,Łukasz
paper,Papier,papier
tough,hart,trudny
tape,Band,taśma
Emily,Emily,Emilia
state,Zustand,państwo
count,zählen,liczyć
college,Uni,Szkoła Wyższa
boyfriend,Freund,chłopak
proud,stolz,dumny
agree,zustimmen,Zgodzić się
birthday,Geburtstag,urodziny
bill,Rechnung,rachunek
seven,Sieben,siedem
they've,Sie haben,oni
Timmy,Timmy,Timmy
history,Geschichte,historia
share,Teilen,dzielić
offer,Angebot,oferta
hurry,sich beeilen,spieszyć się
ow,ow,OW
feet,Fuß,stopy
wondering,wundern sich,zastanawianie się
simple,einfach,prosty
decision,Entscheidung,decyzja
building,Gebäude,budynek
ones,Einsen,te
finish,Fertig,koniec
voice,Stimme,głos
herself,Sie selber,się
Chris,Chris,Chris
would've,hätte,byłby
list,aufführen,lista
Kay,Kay,Kay
mess,Chaos,bałagan
deserve,verdienen,zasługiwać
evidence,Beweis,dowód
cute,niedlich,ładny
Jerry,Jerry,Nocnik
dress,Kleid,sukienka
Richard,Richard,Richard
interesting,interessant,ciekawe
Jesus,Jesus,Jezus
James,James,James
hotel,Hotel,hotel
enjoy,Viel Spaß,smacznego
Ryan,Ryan,Ryan
Lindsay,Lindsay,Lindsay
quiet,ruhig,cichy
concerned,betroffen,zainteresowany
road,Straße,droga
Eve or eve,Eva oder Eva,Ewa lub Ewa
staying,bleiben,przebywający
short,kurz,niski
M.,M.,M.
beat,schlagen,bić
sweetie,Schätzchen,kochanie
mention,nennen,wzmianka
clothes,Kleidung,odzież
finished,fertig,skończone
fell,fiel,spadł
neither,weder,żaden
mmm,mmm,mmm
fix,Fix,naprawić
Victor or victor,Victor oder Victor,Victor lub Victor
respect,Respekt,Poszanowanie
spent,ausgegeben,zużyty
prison,Gefängnis,więzienie
attention,Aufmerksamkeit,Uwaga
holding,Holding,trzymać
calls,Anrufe,połączenia
near,nahe,Blisko
surprised,überrascht,zaskoczony
bar,Bar,bar
Beth,Beth,Beth
pass,passieren,podawać
keeping,Halten,konserwacja
gift,Geschenk,prezent
hadn't,hatte nicht,nie
putting,Putten,umieszczanie
dark,dunkel,ciemny
self,selbst,samego siebie
owe,verdanken,być winnym
using,Verwendung,za pomocą
Nora,Nora,Nora
ice,Eis,lód
helping,Portion,porcja jedzenia
bitch,Hündin,suka
normal,normal,normalna
aunt,Tante,ciotka
lawyer,Anwalt,prawnik
apart,ein Teil,oprócz
certain,sicher,pewny
plans,Pläne,plany
Jax,Jax,Jax
girlfriend,feste Freundin,dziewczyna
floor,Boden,piętro
whether,ob,czy
everything's,alles ist,wszystkie rzeczy
present,gegenwärtig,teraźniejszość
earth,Erde,Ziemia
private,Privatgelände,prywatny
Jessica,Jessica,Jessica
box,Kasten,skrzynka
Dawson,Dawson,Dawson
cover,Startseite,pokrywa
judge,Richter,sędzia
upstairs,nach oben,na górę
Alexis,Alexis,Alexis
Shawn,Shawn,Shawn
sake,Sake,wzgląd
mommy,Mama,mamusia
possibly,möglicherweise,prawdopodobnie
worst,schlechteste,najgorszy
